Source,State,Open Data Website,Last Checked Date,Last Checked By,NO DATA,Crashes,Crashes - Incidents,Crashes - Civilians,Crashes - Vehicles,Arrests,Bail,Calls for Service,Citations,Complaints,COMPLAINTS – BACKGROUND,Complaints – Civilians,COMPLAINTS – OFFICERS,COMPLAINTS – ALLEGATIONS,COMPLAINTS – PENALTIES,Death in Custody,Diversion Program,Employee Demographics,Field Contacts,Incidents,Officer-Involved Shootings,Officer-Involved Shootings - Incidents,Officer-Involved Shootings - Civilians,Officer-Involved Shootings - Officers,Stops,Pedestrian Stops,Pedestrian Citations,Pedestrian Warnings,Pedestrian Arrests,Traffic Citations,Traffic Stops,Traffic Arrests,Traffic Warnings,Show of Force,Use of Force,Use of Force - Incidents,Use of Force  - Civilians/Officers,Use of Force  - Civilians,Use of Force  - Officers,Vehicle Pursuits,Comments
Beloit,Wisconsin,http://gouda.beloitwi.gov/WebLink/Browse.aspx?startid=67660&dbid=0,3/16/2023,sowdm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Added,,,,,,
Fort Lauderdale,Florida,https://fortlauderdale.data.socrata.com/stories/s/Datasets/u4dm-3u2d/,4/25/2022,sowdm,,Added,,,,Added,,Added,,,,,,,,,,Added,,Added,,,,,,,,,,Added,,,,,,,,,,,
Washington D.C.,Washington D.C.,"https://opendata.dc.gov/, https://mpdc.dc.gov/node/1637656",3/16/2023,sowdm,,Added,,,,Added,,,,,,,,,,,,,,Added,,,,,Issue #78,,,,,,,,,,,,,,,,
Miami-Dade,Florida,https://gis-mdc.opendata.arcgis.com/pages/publicsafety,1/3/2023,sowdm,,,,,,,,,,https://gis-mdc.opendata.arcgis.com/datasets/MDC::ufc/about,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miami,Florida,,4/25/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naperville,Illinois,https://data.naperville.il.us/search?categories=public%20safety,4/26/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tampa,Florida,https://city-tampa.opendata.arcgis.com/search?tags=Police,4/26/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont State Police,Vermont,"https://vsp.vermont.gov/communityaffairs/trafficstops, https://data.vermont.gov/browse?limitTo=datasets&q=state+police&sortBy=relevance",3/16/2023,sowdm,,,,,,,,,,,,,,,,,,,,,Added,,,,,,,,,,Added,,,,,,,,,,
Wilton Manors,Florida,,4/26/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anchorage,Alaska,https://data.muni.org/browse?category=Public+Safety&limitTo=datasets,4/26/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlanta,Georgia,"https://opendata.atlantaregional.com/search?categories=public%20safety, http://opendataportal.azurewebsites.us/",4/26/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johns Creek,Georgia,https://datahub.johnscreekga.gov/search?tags=police,4/26/2022,sowdm,,Added,,,,,,Added,Added,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Point,Georgia,https://data-eastpointgis.opendata.arcgis.com/,4/26/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandy Springs,Georgia,https://data-coss.opendata.arcgis.com/search?tags=all(sandy%20springs%2Csafety),4/26/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dunwoody,Georgia,https://get-dunwoody.opendata.arcgis.com/search?tags=Police,4/26/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decatur,Georgia,https://data-decaturga.opendata.arcgis.com/search,4/26/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpharetta,Georgia,https://open-alpharetta.opendata.arcgis.com/search?tags=public%20safety,4/26/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marietta,Georgia,https://data-cityofmarietta.opendata.arcgis.com/search?collection=Dataset,4/26/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tucker,Georgia,https://data-tucker-ga.opendata.arcgis.com/,4/26/2022,sowdm,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
